user	home_proj	global_edits
! Bikkit !	dewiki	219.0
!NewLondon31	jawiki	46.0
!Silent	ptwiki	20688.8
"""Colorado Campeão""!"	ptwiki	417.0
"""quasi"" tuttologo"	itwiki	117.0
$andlo17	itwiki	62.0
$uperFan32	enwiki	2789.0
%Pier%	itwiki	3543.7
&beer&love	wikidatawiki	33370.90000000001
'Inyan	frwiki	1967.7
(:Julien:)	frwiki	3626.3
(dwt).	commonswiki	874.0
**Romina**	eswikisource	914.0
*SGR*	dewiki	1900.8
*Treker	enwiki	24433.2
*Youngjin	kowiki	1333.3
*angys*	zhwiki	18650.3
*feridiák	huwiki	3634.0
*j*jac	frwikisource	11028.7
*thing goes	dewiki	606.4
+Electricity	ptwiki	158.3
- Luc -	frwiki	987.4
--	dewiki	103.4
-- -- --	enwiki	1057.6999999999996
-A-M-B-1996-	enwiki	273.0
-Kalium-	dawiki	12.0
-Lemmy-	enwiki	1248.3
-Ondri-	enwiki	44.0
-PhoeniX-	ruwiki	523.9
-Roxas-	frwiki	54.1
-Sombrero19-	enwikivoyage	401.1
-SteveJFG1-	dewiki	36.0
-Stiven	eswiki	747.0
-Temmink-	dewiki	239.0
-glove-	enwiki	874.0
-jem-	eswiki	2827.3
-jkb-	dewiki	7127.2
-nicon-	enwiki	43.0
-revi	commonswiki	13915.3
-ross616-	enwiki	32.0
-sche	enwiktionary	14972.0
-xfi-	cswiki	820.5
..::11soccero11::..	enwiki	484.0
.Toon	etwiki	626.2
.avgas	itwiki	1956.3
.gs8	dewiki	126.0
.mau.	itwiki	1174.2
0-ZARA	jawiki	906.0
0.999休宗純	jawiki	687.0
0000ff	dewiki	2512.0
00090R	enwiki	398.0
001Jrm	enwiki	260.0
004.Berni.B	enwiki	1142.0
007Sam	eswiki	554.0
007master	ruwiki	393.9
009988aaabbbccc	srwiki	3657.9
00Qan T	jawiki	22.0
00crashtest	enwiki	60.0
00johnny cage123	enwiki	54.0
010256radaem	enwiki	55.0
0114-suraimu	jawiki	42.0
01leeteo	enwiki	64.0
01miki10	fiwiki	94.1
0211 SKDGAKUCHO	jawiki	177.0
03md	enwiki	2664.0
0505hinata	jawiki	65.0
0523Ryoma	jawiki	488.1
0608barmsx	frwiki	100.0
06Ivonne	idwiki	389.5
0777hmajj	jawiki	32.3
07989Didyoueatanything	enwiki	21.0
08-DYI	jawiki	743.2
08pb80	frwiki	86.0
09bryant	enwiki	98.0
0Helmet0	commonswiki	94.0
0ms0	dewiki	46.0
0x010C	frwiki	6290.3
0xF8E8	enwiki	521.0
0xZAKO	jawiki	21.0
0בון100	hewiki	54.0
1-1111	commonswiki	397.0
1-Byte	wikidatawiki	594.9999999999997
1.02 editor	enwiki	2330.0
1.abhinav	commonswiki	16.0
10 December 2017	enwiki	89.0
100% Reporter	itwiki	3483.3
1000MHz	enwiki	261.9
1007star	jawiki	81.0
100cellsman	enwiki	760.0
101090ABC	fiwiki	57.1
101cantbetamed101	enwiki	279.0
1029man	commonswiki	327.4
10Guillot	nlwiki	2244.1
10ポイント	jawiki	65.0
11 Arlington	enwiki	113.0
11 Tom	frwiki	115.0
117Avenue	enwiki	1500.1999999999998
11JORN	enwiki	1195.0
11achitturi	enwiki	115.0
11koyo11	eswiki	1412.9
11sasapus11	srwiki	1374.4
1204grandine	itwiki	57.0
1210criatura	ptwiki	147.0
121a0012	enwiki	609.7
1233	zhwiki	2390.4
12342016a	zhwiki	252.0
12345danNL	nlwiki	566.5
1234qwer1234qwer4	ruwiki	7887.400000000001
12367b	frwiki	384.0
123957a	enwiki	221.1
123John	enwiki	26.0
123banba	hewiki	339.2
123username	enwiki	140.0
124sound	ruwiki	1144.1
1256wiki	enwiki	1353.0
126890Falcon	fawiki	21.0
128032949qq	zhwiki	112.0
1292simon	enwiki	3044.2
12Dagge	enwiki	136.0
12akd	huwiki	12773.7
12chris34	dewiki	104.0
12george1	enwiki	1847.0
13 miedos	eswiki	165.1
13º BIB	commonswiki	97.0
1440wordpower	enwiki	182.0
144p	frwiki	227.9
147snooker	dewiki	469.0
148LENIN	eswiki	2896.8
14GTR	enwiki	4983.0
14dogs	fiwiki	23.0
151 cp	itwiki	28024.1
1549bcp	enwiki	269.0
154thTN Pvt. Seth Adam	enwiki	94.0
1582	jawiki	21.0
159753	enwiki	243.1
15Adam	plwiki	278.0
15g1d2r8	jawiki	890.4
1677venzel gottorpskij	ruwiki	2107.5
16Exul82	dewiki	995.0
17 Luck's	enwiki	37.0
17 kutalmis bercin	trwiki	87.4
1779Days	enwiki	134.0
17A Africa	enwiki	3590.0
17idugem	ukwiki	57.2
17kjm	kowiki	71.0
18051805QWERT	ruwiki	23.0
1832 Heritage	enwiki	70.0
187Ernest	enwiki	242.0
187manorave	enwiki	32.0
1886kusagi	enwiki	749.0
18FCGB81	frwiki	419.0
18abruce	enwiki	2747.3
18mk	ruwiki	2434.9
19.sc	eswiki	44.0
1904.CC	frwiki	703.7
1917 Ekim Devrimi	trwiki	304.1
192749н47	ruwiki	687.4
1949100101爸	zhwiki	234.0
1954cri	dewiki	75.0
1957Gerard	nlwiki	345.0
1970gemini	dewiki	2668.4
1971markus	commonswiki	8679.3
1977seerdgoevy	ruwiki	63.0
1980fast	enwiki	6462.3
1988lovers2016	jawiki	653.0
1989535rip	zhwiki	233.3
1990'sguy	enwiki	2991.1
1993 Ibrahim Al-Nofal	arwiki	118.0
1995Michigan	ptwiki	491.0
1996LG	enwiki	33.0
1996Larry	enwiki	2440.0
1997kB	enwiki	6691.4
1998629ta	jawiki	20.0
1998gmo	enwiki	48.2
19Tarrestnom65	commonswiki	11239.199999999999
19XAVO90	dewiki	701.4
19jduryea	enwiki	197.0
19nik92	enwiki	931.0
19paleblueeyes66	enwiki	111.0
19thPharaoh	enwiki	231.0
19vo67	ruwiki	236.3
1Divad	itwiki	360.0
1ForTheMoney	enwiki	1755.2
1Goldberg2	ruwiki	1406.3
1Kasandra	slwikisource	341.0
1Mark	dewiki	128.0
1Nathan1	enwiki	67.0
1Or	hewiki	5376.2
1Veertje	commonswiki	34326.0
1Vinny7	enwiki	81.0
1bumer	plwiki	679.4
1eBronJames	enwiki	213.0
1govek	enwiki	30.0
1j1z2	zhwiki	3381.8
1l2l3k	sqwiki	12629.6
1muntasir	enwiki	112.0
1oblada	frwiki	197.0
1remains	enwiki	333.0
1rhb	dewiki	5561.2
1stfinal	jawiki	49.0
1stpangu	viwiki	51.0
1theKs	viwiki	61.1
1trb2	enwiki	103.0
1本満足	jawiki	41.0
20000形 20000形	jawiki	92.0
2000awesomee	enwiki	83.0
2005	enwiki	635.1
2005kai	enwiki	104.0
2013AtlantaBraves	enwiki	308.0
2013Nando	eswiki	69.0
2015.ww	commonswiki	464.6
2015leon	zhwiki	155.9
2016Começa	ptwiki	1768.4
2017Chris	dewiki	126.0
2020j	enwiki	395.0
203n0	nowiki	57.1
209harrison	jawiki	98.2
20Panorama15	enwiki	192.0
20WashingtonPaul	enwiki	1840.0
20chances	enwiki	537.0
20fachgoch	cywiki	14.4
20jj01	dewiki	99.0
21.colinthompson	enwiki	3295.0
21031992cd	commonswiki	205.7
210a	jawiki	4426.0
2147483647	kowiki	3019.6
215XBus	zhwiki	422.0
216Kleopatra	svwiki	483.7
21agoodaker	enwiki	108.0
21lima	enwiki	276.1
21pjohnstone	enwiki	37.0
220 of Borg	enwiki	1601.5
22010515528	jawiki	82.3
221.20	jawiki	110.0
22Headlights	enwiki	89.0
22merlin	plwiki	1763.3999999999996
22mikpau	enwiki	324.0
23 editor	enwiki	2050.3
23239696	jawiki	81.0
233路开往宁海中学公交总站	zhwiki	77.5
2342ZZ2342	frwiki	18.0
2345sakib	enwiki	151.0
2397613259qqq	zhwiki	95.0
23Cubs35	enwiki	17.0
23artashes	hywiki	12480.400000000001
23h112e	enwiki	3478.5
23janvier	viwiki	199.0
23x23x23	dewiki	149.1
240fe0730c1	jawiki	366.0
24karamea	dewiki	23.0
24seven	dewiki	151.0
25 Cents FC	enwiki	831.0
25 декабря	ruwiki	848.9
25asd	commonswiki	1240.0
25or6to4	enwiki	1857.3
26 Ramadan	mswiki	2883.2999999999997
263B	zhwiki	1201.0
2679D	zhwiki	231.8
