project_name	project_key	project_group
Abkhazian Wikipedia	abwiki	meaf_wps
Achinese Wikipedia	acewiki	asia_wps
Adyghe Wikipedia	adywiki	cee_wps
Afrikaans Wikipedia	afwiki	meaf_wps
Afrikaans Wiktionary	afwiktionary	meaf_wps
Akan Wikipedia	akwiki	meaf_wps
Albanian Wikipedia	sqwiki	cee_wps
Albanian Wikiquote	sqwikiquote	cee_wps
Albanian Wiktionary	sqwiktionary	cee_wps
Alemannisch Wikipedia	alswiki	weur_wps
Altai Wikipedia	altwiki	cee_wps
Amharic Wikipedia	amwiki	meaf_wps
Amharic Wiktionary	amwiktionary	meaf_wps
Amis Wikipedia	amiwiki	asia_wps
Arabic Wikibooks	arwikibooks	meaf_wps
Arabic Wikinews	arwikinews	meaf_wps
Arabic Wikipedia	arwiki	arwiki
Arabic Wikiquote	arwikiquote	meaf_wps
Arabic Wikisource	arwikisource	meaf_wps
Arabic Wikiversity	arwikiversity	meaf_wps
Arabic Wiktionary	arwiktionary	meaf_wps
Aragonese Wikipedia	anwiki	weur_wps
Aragonese Wiktionary	anwiktionary	weur_wps
Aramaic Wikipedia	arcwiki	meaf_wps
Armenian Wikipedia	hywiki	meaf_wps
Armenian Wikiquote	hywikiquote	meaf_wps
Armenian Wikisource	hywikisource	meaf_wps
Armenian Wiktionary	hywiktionary	meaf_wps
Aromanian Wikipedia	roa_rupwiki	cee_wps
Arpitan Wikipedia	frpwiki	weur_wps
Assamese Wikipedia	aswiki	sasia_wps
Assamese Wikisource	aswikisource	sasia_wps
Asturian Wikipedia	astwiki	weur_wps
Asturian Wiktionary	astwiktionary	weur_wps
Atayal Wikipedia	taywiki	asia_wps
Atikamekw Wikipedia	atjwiki	other
Avaric Wikipedia	avwiki	cee_wps
Awadhi Wikipedia	awawiki	sasia_wps
Aymara Wikipedia	aywiki	other
Aymara Wiktionary	aywiktionary	other
Azerbaijani Wikibooks	azwikibooks	meaf_wps
Azerbaijani Wikipedia	azwiki	meaf_wps
Azerbaijani Wikiquote	azwikiquote	meaf_wps
Azerbaijani Wikisource	azwikisource	meaf_wps
Azerbaijani Wiktionary	azwiktionary	meaf_wps
Balinese Wikipedia	banwiki	asia_wps
Balinese Wikisource	banwikisource	asia_wps
Bambara Wikipedia	bmwiki	meaf_wps
Banjar Wikipedia	bjnwiki	asia_wps
Basa Banyumasan Wikipedia	map_bmswiki	asia_wps
Bashkir Wikibooks	bawikibooks	cee_wps
Bashkir Wikipedia	bawiki	cee_wps
Basque Wikibooks	euwikibooks	weur_wps
Basque Wikipedia	euwiki	weur_wps
Basque Wikiquote	euwikiquote	weur_wps
Basque Wikisource	euwikisource	weur_wps
Basque Wiktionary	euwiktionary	weur_wps
Bavarian Wikipedia	barwiki	weur_wps
Belarusian (Taraškievica) Wikipedia	be_x_oldwiki	cee_wps
Belarusian Wikipedia	bewiki	cee_wps
Belarusian Wikiquote	bewikiquote	cee_wps
Belarusian Wikisource	bewikisource	cee_wps
Belarusian Wiktionary	bewiktionary	cee_wps
Bengali Wikibooks	bnwikibooks	sasia_wps
Bengali Wikipedia	bnwiki	sasia_wps
Bengali Wikisource	bnwikisource	sasia_wps
Bengali Wikivoyage	bnwikivoyage	sasia_wps
Bengali Wiktionary	bnwiktionary	sasia_wps
Bhojpuri Wikipedia	bhwiki	sasia_wps
Bikol Central Wikipedia	bclwiki	asia_wps
Bishnupriya Wikipedia	bpywiki	asia_wps
Bislama Wikipedia	biwiki	asia_wps
Bosnian Wikibooks	bswikibooks	cee_wps
Bosnian Wikipedia	bswiki	cee_wps
Bosnian Wikiquote	bswikiquote	cee_wps
Bosnian Wiktionary	bswiktionary	cee_wps
Breton Wikipedia	brwiki	weur_wps
Breton Wikiquote	brwikiquote	weur_wps
Breton Wikisource	brwikisource	weur_wps
Breton Wiktionary	brwiktionary	weur_wps
Buginese Wikipedia	bugwiki	asia_wps
Bulgarian Wikibooks	bgwikibooks	cee_wps
Bulgarian Wikipedia	bgwiki	cee_wps
Bulgarian Wikiquote	bgwikiquote	cee_wps
Bulgarian Wiktionary	bgwiktionary	cee_wps
Burmese Wikipedia	mywiki	asia_wps
Burmese Wiktionary	mywiktionary	asia_wps
Buryat Wikipedia	bxrwiki	asia_wps
Cantonese Wikipedia	zh_yuewiki	asia_wps
Catalan Wikibooks	cawikibooks	weur_wps
Catalan Wikinews	cawikinews	weur_wps
Catalan Wikipedia	cawiki	weur_wps
Catalan Wikiquote	cawikiquote	weur_wps
Catalan Wikisource	cawikisource	weur_wps
Catalan Wiktionary	cawiktionary	weur_wps
Cebuano Wikipedia	cebwiki	asia_wps
Central Bikol Wiktionary	bclwiktionary	asia_wps
Central Kurdish Wikipedia	ckbwiki	meaf_wps
Chamorro Wikipedia	chwiki	asia_wps
Chavacano de Zamboanga Wikipedia	cbk_zamwiki	asia_wps
Chechen Wikipedia	cewiki	cee_wps
Cherokee Wikipedia	chrwiki	other
Cheyenne Wikipedia	chywiki	other
Chinese Wikibooks	zhwikibooks	asia_wps
Chinese Wikinews	zhwikinews	asia_wps
Chinese Wikipedia	zhwiki	zhwiki
Chinese Wikiquote	zhwikiquote	asia_wps
Chinese Wikisource	zhwikisource	asia_wps
Chinese Wikiversity	zhwikiversity	asia_wps
Chinese Wikivoyage	zhwikivoyage	asia_wps
Chinese Wiktionary	zhwiktionary	asia_wps
Church Slavic Wikipedia	cuwiki	cee_wps
Chuvash Wikipedia	cvwiki	cee_wps
Classical Chinese Wikipedia	zh_classicalwiki	asia_wps
Colognian Wikipedia	kshwiki	weur_wps
Cornish Wikipedia	kwwiki	weur_wps
Corsican Wikipedia	cowiki	weur_wps
Corsican Wiktionary	cowiktionary	weur_wps
Cree Wikipedia	crwiki	other
