project_group	10-29	30-149	150-599	600-1199	1200+
arwiki	18	53	59	29	109
asia_wps	12	49	75	54	126
cee_wps	137	512	631	318	1000
commons	116	422	502	307	1479
dewiki	93	599	715	351	869
enwiki	544	2939	2692	1103	2802
eswiki	75	309	363	161	364
frwiki	127	568	549	235	653
itwiki	45	227	267	107	324
jawiki	103	499	441	135	239
kowiki	10	40	44	16	81
malay_wps	13	96	113	42	121
meaf_wps	80	356	395	206	580
metawiki	3	17	35	34	63
nlwiki	23	136	120	61	184
other	7	113	163	107	407
ptwiki	38	147	146	60	165
ruwiki	70	371	358	204	496
sasia_wps	17	85	93	59	168
viwiki	12	62	49	23	64
weur_wps	50	257	341	173	562
wikidata	22	80	107	65	297
zhwiki	45	313	310	140	322
