proj_name	proj_key	proj_group
Afar Wikipedia	aawiki	meaf_wps
Abkhazian Wikipedia	abwiki	meaf_wps
Acehnese Wikipedia	acewiki	asia_wps
Adyghe Wikipedia	adywiki	cee_wps
Afrikaans Wikipedia	afwiki	meaf_wps
Akan Wikipedia	akwiki	meaf_wps
Alemannic Wikipedia	alswiki	weur_wps
Amharic Wikipedia	amwiki	meaf_wps
Anglo-Saxon Wikipedia	angwiki	weur_wps
Aragonese Wikipedia	anwiki	weur_wps
Aramaic Wikipedia	arcwiki	meaf_wps
Arabic Wikipedia	arwiki	arwiki
Egyptian Arabic Wikipedia	arzwiki	meaf_wps
Asturian Wikipedia	astwiki	weur_wps
Ameaf_wpsmese Wikipedia	aswiki	asia_wps
Atikamekw Wikipedia	atjwiki	other
Avar Wikipedia	avwiki	cee_wps
Aymara Wikipedia	aywiki	other
South Azerbaijani Wikipedia	azbwiki	meaf_wps
Azerbaijani Wikipedia	azwiki	meaf_wps
Bavarian Wikipedia	barwiki	weur_wps
Samogitian Wikipedia	bat_smgwiki	cee_wps
Bashkir Wikipedia	bawiki	cee_wps
Central_Bicolano Wikipedia	bclwiki	asia_wps
Belarusian (Taraškievica) Wikipedia	be_x_oldwiki	cee_wps
Belarusian Wikipedia	bewiki	cee_wps
Bulgarian Wikipedia	bgwiki	cee_wps
Bihari Wikipedia	bhwiki	asia_wps
Bislama Wikipedia	biwiki	asia_wps
Banjar Wikipedia	bjnwiki	asia_wps
Bambara Wikipedia	bmwiki	meaf_wps
Bengali Wikipedia	bnwiki	asia_wps
Tibetan Wikipedia	bowiki	asia_wps
Bishnupriya Manipuri Wikipedia	bpywiki	asia_wps
Breton Wikipedia	brwiki	weur_wps
Bosnian Wikipedia	bswiki	cee_wps
Buginese Wikipedia	bugwiki	asia_wps
Buryat (Russia) Wikipedia	bxrwiki	asia_wps
Catalan Wikipedia	cawiki	weur_wps
Zamboanga Chavacano Wikipedia	cbk_zamwiki	asia_wps
Min Dong Wikipedia	cdowiki	asia_wps
Cebuano Wikipedia	cebwiki	asia_wps
Chechen Wikipedia	cewiki	cee_wps
Choctaw Wikipedia	chowiki	other
Cherokee Wikipedia	chrwiki	other
Chamorro Wikipedia	chwiki	asia_wps
Cheyenne Wikipedia	chywiki	other
Sorani Wikipedia	ckbwiki	meaf_wps
Wikimedia Commons	commonswiki	commons
Corsican Wikipedia	cowiki	weur_wps
Crimean Tatar Wikipedia	crhwiki	cee_wps
Cree Wikipedia	crwiki	other
Kashubian Wikipedia	csbwiki	cee_wps
