user	home_proj	global_edits	project_group	project_domain
! Bikkit !	dewiki	219.0	dewiki	de.wikipedia.org
!NewLondon31	jawiki	46.0	jawiki	ja.wikipedia.org
!Silent	ptwiki	20688.8	ptwiki	pt.wikipedia.org
"""Colorado Campeão""!"	ptwiki	417.0	ptwiki	pt.wikipedia.org
"""quasi"" tuttologo"	itwiki	117.0	itwiki	it.wikipedia.org
$andlo17	itwiki	62.0	itwiki	it.wikipedia.org
$uperFan32	enwiki	2789.0	enwiki	en.wikipedia.org
%Pier%	itwiki	3543.7	itwiki	it.wikipedia.org
&beer&love	wikidatawiki	33370.90000000001	wikidata	www.wikidata.org
'Inyan	frwiki	1967.7	frwiki	fr.wikipedia.org
(:Julien:)	frwiki	3626.3	frwiki	fr.wikipedia.org
(dwt).	commonswiki	874.0	commons	commons.wikimedia.org
**Romina**	eswikisource	914.0	other	es.wikisource.org
*SGR*	dewiki	1900.8	dewiki	de.wikipedia.org
*Treker	enwiki	24433.2	enwiki	en.wikipedia.org
*Youngjin	kowiki	1333.3	asia_wps	ko.wikipedia.org
*angys*	zhwiki	18650.3	zhwiki	zh.wikipedia.org
*feridiák	huwiki	3634.0	cee_wps	hu.wikipedia.org
*j*jac	frwikisource	11028.7	other	fr.wikisource.org
*thing goes	dewiki	606.4	dewiki	de.wikipedia.org
+Electricity	ptwiki	158.3	ptwiki	pt.wikipedia.org
- Luc -	frwiki	987.4	frwiki	fr.wikipedia.org
--	dewiki	103.4	dewiki	de.wikipedia.org
-- -- --	enwiki	1057.6999999999996	enwiki	en.wikipedia.org
-A-M-B-1996-	enwiki	273.0	enwiki	en.wikipedia.org
-Kalium-	dawiki	12.0	weur_wps	da.wikipedia.org
-Lemmy-	enwiki	1248.3	enwiki	en.wikipedia.org
-Ondri-	enwiki	44.0	enwiki	en.wikipedia.org
-PhoeniX-	ruwiki	523.9	ruwiki	ru.wikipedia.org
-Roxas-	frwiki	54.1	frwiki	fr.wikipedia.org
-Sombrero19-	enwikivoyage	401.1	other	en.wikivoyage.org
-SteveJFG1-	dewiki	36.0	dewiki	de.wikipedia.org
-Stiven	eswiki	747.0	eswiki	es.wikipedia.org
-Temmink-	dewiki	239.0	dewiki	de.wikipedia.org
-glove-	enwiki	874.0	enwiki	en.wikipedia.org
-jem-	eswiki	2827.3	eswiki	es.wikipedia.org
-jkb-	dewiki	7127.2	dewiki	de.wikipedia.org
