language	site_key	group
Afar	aawiki	ssa
Abkhazian	abwiki	mena
Acehnese	acewiki	asia
Adyghe	adywiki	cee
Afrikaans	afwiki	ssa
Akan	akwiki	ssa
Alemannic	alswiki	weur
Amharic	amwiki	ssa
Anglo-Saxon	angwiki	weur
Aragonese	anwiki	weur
Aramaic	arcwiki	mena
Arabic	arwiki	arwiki
Egyptian Arabic	arzwiki	mena
Asturian	astwiki	weur
Assamese	aswiki	asia
Avar	avwiki	cee
Aymara	aywiki	other
South Azerbaijani	azbwiki	mena
Azerbaijani	azwiki	mena
Bavarian	barwiki	weur
Samogitian	bat-smgwiki	cee
Bashkir	bawiki	cee
Central_Bicolano	bclwiki	asia
Belarusian (Taraškievica)	be-x-oldwiki	cee
Belarusian	bewiki	cee
Bulgarian	bgwiki	cee
Bihari	bhwiki	asia
Bislama	biwiki	asia
Banjar	bjnwiki	asia
Bambara	bmwiki	ssa
Bengali	bnwiki	asia
Tibetan	bowiki	asia
Bishnupriya Manipuri	bpywiki	asia
Breton	brwiki	weur
Bosnian	bswiki	cee
Buginese	bugwiki	asia
Buryat (Russia)	bxrwiki	asia
Catalan	cawiki	weur
Zamboanga Chavacano	cbk-zamwiki	asia
Min Dong	cdowiki	asia
Cebuano	cebwiki	asia
Chechen	cewiki	cee
Choctaw	chowiki	other
Cherokee	chrwiki	other
Chamorro	chwiki	asia
Cheyenne	chywiki	other
Sorani	ckbwiki	mena
Corsican	cowiki	weur
Crimean Tatar	crhwiki	cee
Cree	crwiki	other
Kashubian	csbwiki	cee
Czech	cswiki	cee
Old Church Slavonic	cuwiki	cee
Chuvash	cvwiki	cee
Welsh	cywiki	weur
Danish	dawiki	weur
German	dewiki	dewiki
Zazaki	diqwiki	mena
Lower Sorbian	dsbwiki	cee
Divehi	dvwiki	asia
Dzongkha	dzwiki	asia
Ewe	eewiki	ssa
Greek	elwiki	cee
Emilian-Romagnol	emlwiki	weur
English	enwiki	enwiki
Esperanto	eowiki	weur
Spanish	eswiki	eswiki
Estonian	etwiki	cee
Basque	euwiki	weur
Extremaduran	extwiki	weur
Persian	fawiki	mena
Fula	ffwiki	ssa
Võro	fiu-vrowiki	ssa
Finnish	fiwiki	weur
Fijian	fjwiki	asia
